expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado
EXP-00029,TULUA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2023,71,1.1,9,0,422,1
EXP-00030,ZARZAL,VIF,Juzgado_Penal_Municipal_1,2022,33,1.25,4,0,241,1
EXP-00031,CANDELARIA,VIF,Juzgado_Penal_Municipal_2,2024,48,1.05,3,0,256,1
EXP-00032,YUMBO,ALIMENTOS,Juzgado_Penal_Municipal_1,2023,62,1.25,8,0,343,1
EXP-00033,JAMUNDI,VIF,Comisaria_1_Familia,2023,67,1.1,5,0,220,1
EXP-00034,TULUA,ALIMENTOS,Juzgado_1_Familia,2020,71,1.35,8,1,502,1
EXP-00035,PRADERA,ALIMENTOS,Comisaria_2_Familia,2022,38,0.9,5,1,273,1
EXP-00036,PALMIRA,ALIMENTOS,Juzgado_1_Familia,2022,74,1.35,7,0,269,1
EXP-00037,FLORIDA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2021,44,1.35,11,0,447,1
EXP-00038,BUENAVENTURA,HURTO_PATRIMONIAL,Comisaria_2_Familia,2020,89,0.9,5,0,242,1
EXP-00039,BUENAVENTURA,ALIMENTOS,Juzgado_Penal_Municipal_2,2023,89,1.05,4,1,329,1
EXP-00040,FLORIDA,ALIMENTOS,Comisaria_1_Familia,2020,44,1.1,5,1,435,1
EXP-00041,PRADERA,ALIMENTOS,Comisaria_2_Familia,2023,38,0.9,5,1,288,1
EXP-00042,CANDELARIA,HURTO_PATRIMONIAL,Comisaria_2_Familia,2024,48,0.9,1,0,146,1
EXP-00043,FLORIDA,SUSTANCIAS,Juzgado_Penal_Municipal_2,2022,44,1.05,4,0,205,1
EXP-00044,BUENAVENTURA,ALIMENTOS,Juzgado_Penal_Municipal_1,2024,89,1.25,6,1,359,1
EXP-00045,JAMUNDI,VIF,Juzgado_Penal_Municipal_2,2020,67,1.05,1,0,79,0
EXP-00046,PRADERA,ALIMENTOS,Juzgado_1_Familia,2022,38,1.35,7,0,294,1
EXP-00047,FLORIDA,VIF,Comisaria_2_Familia,2024,44,0.9,5,0,197,1
EXP-00048,SEVILLA,ALIMENTOS,Juzgado_Penal_Municipal_2,2024,35,1.05,7,1,434,1
EXP-00049,PALMIRA,VIF,Juzgado_1_Familia,2024,74,1.35,8,0,333,1
EXP-00050,CANDELARIA,SUSTANCIAS,Comisaria_1_Familia,2022,48,1.1,1,0,144,0
EXP-00051,GUADALAJARA DE BUGA,ALIMENTOS,Comisaria_2_Familia,2024,53,0.9,4,0,202,1
EXP-00052,SEVILLA,ALIMENTOS,Juzgado_1_Familia,2024,35,1.35,5,1,387,1
EXP-00053,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia,2022,82,1.1,7,1,404,1
EXP-00054,CALI,VIF,Juzgado_Penal_Municipal_2,2024,82,1.05,7,0,345,1
EXP-00055,EL CERRITO,ALIMENTOS,Comisaria_1_Familia,2020,41,1.1,6,0,305,1
EXP-00056,JAMUNDI,ALIMENTOS,Comisaria_1_Familia,2022,67,1.1,9,1,575,1
EXP-00057,SEVILLA,SUSTANCIAS,Juzgado_2_Familia,2020,35,1.2,3,0,80,1
EXP-00058,EL CERRITO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2021,41,1.05,5,1,233,0
EXP-00059,FLORIDA,VIF,Juzgado_3_Familia,2024,44,0.95,5,0,287,1
EXP-00060,CARTAGO,VIF,Comisaria_1_Familia,2022,58,1.1,3,0,91,1
EXP-00061,GUADALAJARA DE BUGA,VIF,Comisaria_2_Familia,2020,53,0.9,1,0,62,0
EXP-00062,CARTAGO,HURTO_PATRIMONIAL,Juzgado_3_Familia,2023,58,0.95,6,1,413,1
EXP-00063,YUMBO,VIF,Juzgado_2_Familia,2020,62,1.2,6,0,250,1
EXP-00064,JAMUNDI,ALIMENTOS,Juzgado_3_Familia,2024,67,0.95,11,0,486,1
EXP-00065,JAMUNDI,VIF,Juzgado_3_Familia,2024,67,0.95,7,0,377,1
EXP-00066,PRADERA,VIF,Juzgado_2_Familia,2021,38,1.2,2,0,175,1
EXP-00067,EL CERRITO,VIF,Juzgado_1_Familia,2022,41,1.35,7,0,386,1
EXP-00068,SEVILLA,SUSTANCIAS,Comisaria_2_Familia,2024,35,0.9,5,0,342,1
EXP-00069,FLORIDA,SUSTANCIAS,Juzgado_2_Familia,2023,44,1.2,4,0,245,1
EXP-00070,BUENAVENTURA,SUSTANCIAS,Juzgado_1_Familia,2022,89,1.35,7,0,281,1
EXP-00071,CALI,HURTO_PATRIMONIAL,Juzgado_2_Familia,2020,82,1.2,8,1,567,1
EXP-00072,PALMIRA,VIF,Comisaria_2_Familia,2024,74,0.9,5,0,176,1
EXP-00073,CARTAGO,ALIMENTOS,Juzgado_3_Familia,2022,58,0.95,6,0,294,1
EXP-00074,CANDELARIA,ALIMENTOS,Juzgado_2_Familia,2023,48,1.2,8,0,331,1
EXP-00075,JAMUNDI,ALIMENTOS,Juzgado_3_Familia,2022,67,0.95,8,0,329,1
EXP-00076,YUMBO,VIF,Juzgado_2_Familia,2022,62,1.2,4,0,134,1
EXP-00077,BUENAVENTURA,ALIMENTOS,Juzgado_Penal_Municipal_1,2023,89,1.25,8,1,478,1
EXP-00078,SEVILLA,ALIMENTOS,Juzgado_1_Familia,2023,35,1.35,5,0,321,1
EXP-00079,SEVILLA,ALIMENTOS,Juzgado_3_Familia,2021,35,0.95,5,0,273,1
EXP-00080,PALMIRA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2023,74,0.95,2,0,131,0
EXP-00081,SEVILLA,ALIMENTOS,Juzgado_Penal_Municipal_1,2021,35,1.25,3,0,183,1
EXP-00082,SEVILLA,ALIMENTOS,Juzgado_2_Familia,2024,35,1.2,5,1,354,1
EXP-00083,SEVILLA,ALIMENTOS,Comisaria_1_Familia,2024,35,1.1,5,0,225,1
EXP-00084,YUMBO,ALIMENTOS,Comisaria_1_Familia,2022,62,1.1,5,1,331,0
EXP-00085,GUADALAJARA DE BUGA,VIF,Juzgado_Penal_Municipal_2,2020,53,1.05,5,0,186,1
EXP-00086,CARTAGO,HURTO_PATRIMONIAL,Comisaria_1_Familia,2020,58,1.1,4,0,217,1
EXP-00087,CALI,ALIMENTOS,Juzgado_1_Familia,2023,82,1.35,7,0,256,0
EXP-00088,CANDELARIA,VIF,Comisaria_1_Familia,2021,48,1.1,2,0,160,1
EXP-00089,BUENAVENTURA,ALIMENTOS,Juzgado_3_Familia,2024,89,0.95,2,0,82,0
EXP-00090,TULUA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2022,71,1.25,8,1,562,1
EXP-00091,YUMBO,VIF,Comisaria_1_Familia,2024,62,1.1,8,0,373,1
EXP-00092,BUENAVENTURA,VIF,Juzgado_2_Familia,2022,89,1.2,5,0,230,1
EXP-00093,PALMIRA,ALIMENTOS,Comisaria_1_Familia,2021,74,1.1,6,0,331,1
EXP-00094,EL CERRITO,SUSTANCIAS,Comisaria_2_Familia,2023,41,0.9,1,0,84,0
EXP-00095,PRADERA,ALIMENTOS,Juzgado_2_Familia,2020,38,1.2,5,1,407,1
EXP-00096,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia,2024,82,1.1,8,0,414,1
EXP-00097,PALMIRA,SUSTANCIAS,Juzgado_Penal_Municipal_1,2020,74,1.25,7,0,335,1
EXP-00098,PRADERA,ALIMENTOS,Comisaria_2_Familia,2021,38,0.9,5,0,290,1
EXP-00099,FLORIDA,VIF,Juzgado_Penal_Municipal_2,2024,44,1.05,6,0,241,1
EXP-00100,CALI,ALIMENTOS,Juzgado_1_Familia,2022,82,1.35,6,0,312,1
EXP-00101,YUMBO,SUSTANCIAS,Juzgado_Penal_Municipal_2,2024,62,1.05,4,0,189,1
EXP-00102,CALI,VIF,Juzgado_Penal_Municipal_2,2023,82,1.05,4,0,159,0
EXP-00103,BUENAVENTURA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,89,0.95,6,0,346,1
EXP-00104,TULUA,VIF,Comisaria_2_Familia,2023,71,0.9,1,0,33,1
EXP-00105,EL CERRITO,VIF,Juzgado_3_Familia,2023,41,0.95,7,0,249,1
EXP-00106,ZARZAL,SUSTANCIAS,Juzgado_Penal_Municipal_1,2021,33,1.25,2,0,127,1
EXP-00107,FLORIDA,VIF,Juzgado_Penal_Municipal_1,2021,44,1.25,5,0,305,1
EXP-00108,PRADERA,VIF,Comisaria_1_Familia,2024,38,1.1,3,0,81,0
EXP-00109,ZARZAL,SUSTANCIAS,Juzgado_Penal_Municipal_1,2024,33,1.25,5,0,250,1
EXP-00110,TULUA,ALIMENTOS,Juzgado_1_Familia,2022,71,1.35,5,0,275,1
EXP-00111,JAMUNDI,ALIMENTOS,Comisaria_1_Familia,2024,67,1.1,5,1,329,1
EXP-00112,YUMBO,ALIMENTOS,Juzgado_2_Familia,2023,62,1.2,7,0,297,0
EXP-00113,CARTAGO,VIF,Juzgado_Penal_Municipal_1,2020,58,1.25,6,0,324,1
EXP-00114,FLORIDA,ALIMENTOS,Comisaria_2_Familia,2023,44,0.9,5,1,338,1
EXP-00115,SEVILLA,ALIMENTOS,Juzgado_Penal_Municipal_2,2023,35,1.05,6,1,386,1
EXP-00116,ZARZAL,ALIMENTOS,Comisaria_2_Familia,2022,33,0.9,6,1,362,1
EXP-00117,BUENAVENTURA,VIF,Comisaria_1_Familia,2023,89,1.1,4,0,212,0
EXP-00118,GUADALAJARA DE BUGA,SUSTANCIAS,Juzgado_2_Familia,2022,53,1.2,3,0,87,0
EXP-00119,BUENAVENTURA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2023,89,1.35,7,0,359,1
EXP-00120,CARTAGO,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,58,0.95,11,1,701,1
EXP-00121,CANDELARIA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2024,48,1.1,5,0,316,1
EXP-00122,FLORIDA,ALIMENTOS,Juzgado_Penal_Municipal_2,2024,44,1.05,10,0,410,1
EXP-00123,EL CERRITO,ALIMENTOS,Juzgado_2_Familia,2022,41,1.2,8,1,583,1
EXP-00124,PALMIRA,SUSTANCIAS,Juzgado_Penal_Municipal_1,2024,74,1.25,6,0,322,1
EXP-00125,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2023,53,1.35,13,0,602,1
EXP-00126,CARTAGO,ALIMENTOS,Juzgado_3_Familia,2022,58,0.95,9,0,363,1
EXP-00127,FLORIDA,VIF,Juzgado_Penal_Municipal_1,2020,44,1.25,2,0,235,1
EXP-00128,JAMUNDI,ALIMENTOS,Comisaria_2_Familia,2022,67,0.9,6,0,341,1
EXP-00129,JAMUNDI,ALIMENTOS,Comisaria_2_Familia,2024,67,0.9,8,0,395,1
EXP-00130,YUMBO,HURTO_PATRIMONIAL,Juzgado_3_Familia,2020,62,0.95,7,1,378,1
EXP-00131,CANDELARIA,VIF,Juzgado_2_Familia,2022,48,1.2,2,0,121,1
EXP-00132,PALMIRA,VIF,Juzgado_3_Familia,2024,74,0.95,6,0,196,1
EXP-00133,CANDELARIA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2024,48,1.35,5,0,136,0
EXP-00134,PALMIRA,ALIMENTOS,Juzgado_2_Familia,2021,74,1.2,8,1,588,1
EXP-00135,CARTAGO,VIF,Juzgado_Penal_Municipal_2,2020,58,1.05,7,0,305,1
EXP-00136,YUMBO,SUSTANCIAS,Juzgado_2_Familia,2023,62,1.2,7,0,318,1
EXP-00137,JAMUNDI,VIF,Juzgado_Penal_Municipal_2,2020,67,1.05,4,0,146,1
EXP-00138,BUENAVENTURA,VIF,Comisaria_2_Familia,2023,89,0.9,5,0,230,1
EXP-00139,FLORIDA,VIF,Juzgado_Penal_Municipal_1,2023,44,1.25,3,0,167,0
EXP-00140,CANDELARIA,VIF,Juzgado_Penal_Municipal_2,2020,48,1.05,3,0,236,1
EXP-00141,CARTAGO,HURTO_PATRIMONIAL,Juzgado_1_Familia,2024,58,1.35,5,0,229,0
EXP-00142,GUADALAJARA DE BUGA,ALIMENTOS,Juzgado_2_Familia,2024,53,1.2,9,0,440,1
EXP-00143,CARTAGO,VIF,Comisaria_1_Familia,2024,58,1.1,6,0,213,1
EXP-00144,JAMUNDI,HURTO_PATRIMONIAL,Juzgado_1_Familia,2021,67,1.35,5,0,268,1
EXP-00145,CARTAGO,ALIMENTOS,Comisaria_2_Familia,2024,58,0.9,1,0,88,1
EXP-00146,FLORIDA,HURTO_PATRIMONIAL,Comisaria_2_Familia,2020,44,0.9,8,0,375,1
EXP-00147,SEVILLA,SUSTANCIAS,Juzgado_Penal_Municipal_2,2024,35,1.05,8,0,331,1
EXP-00148,FLORIDA,ALIMENTOS,Juzgado_1_Familia,2021,44,1.35,8,0,394,1
EXP-00149,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2023,53,0.95,2,0,116,1
EXP-00150,CALI,ALIMENTOS,Juzgado_3_Familia,2021,82,0.95,5,0,296,1
EXP-00151,BUENAVENTURA,VIF,Juzgado_3_Familia,2022,89,0.95,4,0,189,1
EXP-00152,FLORIDA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2023,44,1.35,7,0,388,1
EXP-00153,JAMUNDI,ALIMENTOS,Juzgado_2_Familia,2020,67,1.2,5,0,317,0
EXP-00154,ZARZAL,VIF,Juzgado_2_Familia,2023,33,1.2,8,0,275,1
EXP-00155,CALI,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,82,0.95,5,0,261,1
EXP-00156,SEVILLA,VIF,Juzgado_2_Familia,2021,35,1.2,4,0,164,1
EXP-00157,SEVILLA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,35,0.95,4,1,302,0
EXP-00158,PRADERA,ALIMENTOS,Comisaria_2_Familia,2023,38,0.9,5,0,243,1
EXP-00159,CANDELARIA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2022,48,1.25,7,0,373,1
EXP-00160,ZARZAL,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2024,33,1.25,7,1,457,1
EXP-00161,YUMBO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2022,62,1.25,7,1,470,1
EXP-00162,SEVILLA,VIF,Juzgado_3_Familia,2021,35,0.95,6,0,293,1
EXP-00163,FLORIDA,ALIMENTOS,Juzgado_2_Familia,2024,44,1.2,2,1,268,1
EXP-00164,SEVILLA,ALIMENTOS,Juzgado_2_Familia,2024,35,1.2,5,1,380,1
EXP-00165,CANDELARIA,VIF,Comisaria_2_Familia,2024,48,0.9,5,0,176,1
EXP-00166,FLORIDA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2024,44,1.05,7,0,368,1
EXP-00167,PRADERA,VIF,Comisaria_1_Familia,2021,38,1.1,5,0,237,1
EXP-00168,ZARZAL,VIF,Juzgado_Penal_Municipal_2,2023,33,1.05,5,0,224,1
EXP-00169,CARTAGO,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,58,1.05,6,0,222,1
EXP-00170,YUMBO,VIF,Comisaria_2_Familia,2023,62,0.9,3,0,143,0
EXP-00171,ZARZAL,VIF,Juzgado_Penal_Municipal_1,2024,33,1.25,8,0,314,1
EXP-00172,PRADERA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2023,38,0.95,5,0,262,1
EXP-00173,YUMBO,VIF,Comisaria_1_Familia,2022,62,1.1,4,0,241,1
EXP-00174,ZARZAL,ALIMENTOS,Comisaria_1_Familia,2022,33,1.1,6,0,337,1
EXP-00175,PRADERA,ALIMENTOS,Juzgado_3_Familia,2021,38,0.95,6,0,262,1
EXP-00176,CARTAGO,HURTO_PATRIMONIAL,Juzgado_2_Familia,2023,58,1.2,10,1,607,1
EXP-00177,TULUA,VIF,Juzgado_Penal_Municipal_1,2023,71,1.25,8,0,304,1
EXP-00178,EL CERRITO,HURTO_PATRIMONIAL,Comisaria_1_Familia,2021,41,1.1,4,1,296,1
EXP-00179,PALMIRA,ALIMENTOS,Juzgado_Penal_Municipal_1,2024,74,1.25,8,1,506,1
EXP-00180,SEVILLA,VIF,Juzgado_Penal_Municipal_2,2022,35,1.05,6,0,283,1
EXP-00181,SEVILLA,HURTO_PATRIMONIAL,Comisaria_2_Familia,2022,35,0.9,4,0,98,1
EXP-00182,BUENAVENTURA,VIF,Comisaria_1_Familia,2022,89,1.1,5,0,304,1
EXP-00183,PRADERA,VIF,Juzgado_2_Familia,2023,38,1.2,4,0,197,1
EXP-00184,ZARZAL,ALIMENTOS,Comisaria_1_Familia,2022,33,1.1,1,0,27,0
EXP-00185,SEVILLA,VIF,Juzgado_Penal_Municipal_2,2022,35,1.05,3,0,126,1
EXP-00186,CARTAGO,VIF,Juzgado_3_Familia,2023,58,0.95,4,0,255,0
EXP-00187,EL CERRITO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2021,41,1.25,3,0,137,1
EXP-00188,TULUA,VIF,Comisaria_1_Familia,2024,71,1.1,3,0,176,0
EXP-00189,JAMUNDI,VIF,Juzgado_1_Familia,2024,67,1.35,8,0,321,1
EXP-00190,PRADERA,VIF,Comisaria_1_Familia,2022,38,1.1,4,0,221,1
EXP-00191,SEVILLA,VIF,Juzgado_3_Familia,2023,35,0.95,4,0,180,1
EXP-00192,ZARZAL,VIF,Comisaria_1_Familia,2024,33,1.1,5,0,234,1
EXP-00193,CANDELARIA,VIF,Juzgado_2_Familia,2022,48,1.2,1,0,79,0
EXP-00194,BUENAVENTURA,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,89,1.05,7,0,362,1
EXP-00195,YUMBO,ALIMENTOS,Juzgado_1_Familia,2024,62,1.35,8,0,387,1
EXP-00196,CANDELARIA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2020,48,1.35,9,0,418,1
EXP-00197,ZARZAL,VIF,Comisaria_2_Familia,2023,33,0.9,2,0,114,1
EXP-00198,CARTAGO,HURTO_PATRIMONIAL,Juzgado_1_Familia,2024,58,1.35,11,1,645,1
EXP-00199,SEVILLA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2023,35,1.1,9,0,396,1
EXP-00200,EL CERRITO,VIF,Juzgado_Penal_Municipal_1,2023,41,1.25,1,0,163,1
EXP-00201,PRADERA,VIF,Juzgado_1_Familia,2021,38,1.35,1,0,117,0
EXP-00202,ZARZAL,VIF,Juzgado_2_Familia,2023,33,1.2,6,0,306,1
EXP-00203,YUMBO,SUSTANCIAS,Comisaria_2_Familia,2022,62,0.9,1,0,108,1
EXP-00204,PRADERA,VIF,Juzgado_3_Familia,2024,38,0.95,6,0,243,1
EXP-00205,SEVILLA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2020,35,0.95,8,1,499,1
EXP-00206,TULUA,SUSTANCIAS,Juzgado_Penal_Municipal_1,2021,71,1.25,6,0,323,1
EXP-00207,ZARZAL,ALIMENTOS,Juzgado_Penal_Municipal_2,2023,33,1.05,4,0,198,1
EXP-00208,SEVILLA,VIF,Juzgado_1_Familia,2023,35,1.35,5,0,228,1
EXP-00209,CALI,VIF,Juzgado_2_Familia,2024,82,1.2,4,0,224,1
EXP-00210,PRADERA,ALIMENTOS,Juzgado_2_Familia,2021,38,1.2,12,0,532,1
EXP-00211,CANDELARIA,VIF,Comisaria_2_Familia,2024,48,0.9,6,0,222,1
EXP-00212,TULUA,ALIMENTOS,Juzgado_3_Familia,2024,71,0.95,8,0,377,1
EXP-00213,GUADALAJARA DE BUGA,VIF,Juzgado_Penal_Municipal_2,2021,53,1.05,5,0,210,1
EXP-00214,YUMBO,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,62,1.05,6,0,336,1
EXP-00215,CARTAGO,VIF,Juzgado_2_Familia,2022,58,1.2,9,0,369,1
EXP-00216,SEVILLA,HURTO_PATRIMONIAL,Juzgado_1_Familia,2020,35,1.35,10,0,500,1
EXP-00217,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Comisaria_1_Familia,2020,53,1.1,3,0,209,1
EXP-00218,CALI,HURTO_PATRIMONIAL,Comisaria_1_Familia,2024,82,1.1,7,1,558,1
EXP-00219,YUMBO,ALIMENTOS,Juzgado_2_Familia,2022,62,1.2,10,0,390,1
EXP-00220,CANDELARIA,VIF,Juzgado_2_Familia,2024,48,1.2,5,0,292,1
EXP-00221,FLORIDA,ALIMENTOS,Juzgado_1_Familia,2024,44,1.35,8,0,357,1
EXP-00222,PALMIRA,ALIMENTOS,Comisaria_2_Familia,2024,74,0.9,5,0,207,1
EXP-00223,YUMBO,ALIMENTOS,Juzgado_Penal_Municipal_2,2024,62,1.05,9,0,315,1
EXP-00224,TULUA,ALIMENTOS,Juzgado_2_Familia,2022,71,1.2,3,0,196,1
EXP-00225,PALMIRA,VIF,Juzgado_Penal_Municipal_2,2024,74,1.05,7,0,273,1
EXP-00226,TULUA,ALIMENTOS,Juzgado_Penal_Municipal_2,2022,71,1.05,11,0,496,1
EXP-00227,ZARZAL,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2022,33,1.05,5,1,407,1
EXP-00228,BUENAVENTURA,SUSTANCIAS,Juzgado_2_Familia,2023,89,1.2,6,0,288,1
EXP-00229,TULUA,VIF,Juzgado_1_Familia,2023,71,1.35,6,0,249,1
EXP-00230,CARTAGO,HURTO_PATRIMONIAL,Comisaria_2_Familia,2022,58,0.9,7,0,344,1
EXP-00231,ZARZAL,HURTO_PATRIMONIAL,Comisaria_2_Familia,2021,33,0.9,3,1,182,1
EXP-00232,PALMIRA,VIF,Comisaria_2_Familia,2024,74,0.9,3,0,172,1
EXP-00233,SEVILLA,VIF,Juzgado_Penal_Municipal_2,2024,35,1.05,1,0,97,0
EXP-00234,PALMIRA,ALIMENTOS,Comisaria_1_Familia,2023,74,1.1,5,0,203,1
EXP-00235,SEVILLA,VIF,Comisaria_1_Familia,2024,35,1.1,7,0,287,1
EXP-00236,SEVILLA,VIF,Juzgado_3_Familia,2022,35,0.95,5,0,226,1
EXP-00237,ZARZAL,ALIMENTOS,Juzgado_Penal_Municipal_1,2023,33,1.25,6,0,272,1
EXP-00238,JAMUNDI,HURTO_PATRIMONIAL,Comisaria_2_Familia,2024,67,0.9,4,0,196,1
EXP-00239,TULUA,ALIMENTOS,Comisaria_2_Familia,2023,71,0.9,4,0,227,1
EXP-00240,CARTAGO,VIF,Comisaria_2_Familia,2023,58,0.9,5,0,223,1
EXP-00241,CALI,VIF,Juzgado_1_Familia,2023,82,1.35,3,0,191,1
EXP-00242,FLORIDA,ALIMENTOS,Comisaria_2_Familia,2024,44,0.9,1,0,32,1
EXP-00243,CALI,ALIMENTOS,Comisaria_2_Familia,2021,82,0.9,7,0,274,1
EXP-00244,CARTAGO,HURTO_PATRIMONIAL,Juzgado_1_Familia,2020,58,1.35,4,1,358,1
EXP-00245,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2021,53,0.95,6,0,324,1
EXP-00246,YUMBO,ALIMENTOS,Comisaria_1_Familia,2024,62,1.1,6,1,352,1
EXP-00247,PALMIRA,ALIMENTOS,Juzgado_Penal_Municipal_1,2022,74,1.25,9,0,435,1
EXP-00248,EL CERRITO,SUSTANCIAS,Juzgado_Penal_Municipal_1,2023,41,1.25,7,0,281,1
EXP-00249,BUENAVENTURA,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,89,1.05,5,0,233,1
EXP-00250,FLORIDA,VIF,Juzgado_Penal_Municipal_1,2022,44,1.25,6,0,264,1
EXP-00251,CALI,VIF,Juzgado_3_Familia,2023,82,0.95,5,0,283,1
EXP-00252,BUENAVENTURA,VIF,Juzgado_Penal_Municipal_1,2023,89,1.25,7,0,325,1
EXP-00253,PRADERA,ALIMENTOS,Juzgado_Penal_Municipal_1,2024,38,1.25,6,0,356,1
EXP-00254,JAMUNDI,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,67,0.95,4,0,188,1
EXP-00255,JAMUNDI,VIF,Juzgado_3_Familia,2022,67,0.95,8,0,341,1
EXP-00256,CARTAGO,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2021,58,1.05,10,1,659,1
EXP-00257,TULUA,ALIMENTOS,Juzgado_2_Familia,2023,71,1.2,8,0,438,1
EXP-00258,BUENAVENTURA,VIF,Comisaria_2_Familia,2023,89,0.9,6,0,311,1
EXP-00259,PRADERA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_1,2024,38,1.25,11,1,651,1
